protein,S001_baseline,S001_week4,S002_baseline,S002_week4,S003_baseline,S003_week4,S004_baseline,S004_week4,S005_baseline,S005_week4,S006_baseline,S006_week4,S007_baseline,S007_week4,S008_baseline,S008_week4,S009_baseline,S009_week4,S010_baseline,S010_week4,S011_baseline,S011_week4,S012_baseline,S012_week4,S013_baseline,S013_week4,S014_baseline,S014_week4,S015_baseline,S015_week4,S016_baseline,S016_week4,S017_baseline,S017_week4,S018_baseline,S018_week4,S019_baseline,S019_week4,S020_baseline,S020_week4
PROT001,7631732.0534701785,7803690.203889706,7059009.920650878,7271101.58350749,,11330822.676083721,10667304.576675732,7836593.110352133,7089549.567638282,6283094.66240614,6807966.182629374,6071779.097596661,8356856.507540768,5294450.942680552,7837458.8072724305,11005071.523804164,7021028.57425906,4141612.4602570888,5788837.274154785,5711564.625528714,5271616.950313666,5462800.446329646,7642442.979822369,,9117312.100838369,7886739.111827239,7479162.196341362,5278794.76742073,6350598.439837048,6587331.18834988,11666748.427891936,4702220.0546813365,8268036.74851004,9690677.217021283,9057991.922543658,6863342.417217216,5949782.264612403,7026504.298049347,8350124.562130623,7965984.458044588
PROT002,,13644130.370911345,17485259.240730707,17914254.40205432,12927064.626534766,14389276.042083688,12466246.299792241,15092812.445371266,,11800924.716462798,12064135.930890804,19552296.558918066,13563718.899028122,14872136.466443753,15027376.708994292,16230130.986735027,15001938.316167375,16736196.145627828,15204765.673632484,12043870.772714863,13363603.98744629,18760860.935260642,10772521.913998175,15200254.579921171,,22184683.083474416,16675141.206068536,16859126.943218656,13811502.871083692,20331038.303776458,14307181.063927587,14284868.87416301,16979342.28444397,18069820.597424887,13301925.559481768,16522566.152564045,12698199.86107432,12018714.298669804,12737841.136632802,13038019.383510513
PROT003,20640225.85050747,21033028.554441486,23574613.64993585,24193246.873353414,19789306.8869161,25009273.098220598,27265482.912440393,25671548.162874147,29937844.12884707,26777734.267427325,21974189.448472157,20514377.136531375,23094710.84917359,25747875.55688824,25396475.17159119,30533931.33933474,21134229.265624274,17695795.457515504,20037208.91322905,29421545.18160422,21034519.82339444,34465523.97863213,28904315.27592575,29950713.30514128,27066379.787376028,25524625.61036666,,30783876.21565247,25091957.112527303,27567022.675093412,21362151.037073553,21743621.45439277,44475838.08010168,28239132.115598124,22270301.31192733,20511355.08302912,31766423.88206783,21583539.58166969,18162149.930027682,26560621.772252515
PROT004,18465635.822205167,14742982.87401334,20397047.949443832,27526301.42836731,21206935.413994335,19470303.69567873,13045739.404296525,17703504.929088708,,15583031.878992913,22014833.061421357,22452095.628094587,25751372.23604542,18453462.51879457,17872539.828756243,20930141.340346526,16000032.279633282,21268011.853294913,17498471.987586647,17978412.28083456,16720363.921861177,21011256.506953172,20145933.917526755,19887662.900608163,24475708.810922354,22547934.286466878,19674772.77542347,30708065.988082193,26292808.653286576,21381591.573095035,22597925.7286048,17402731.65768342,23082310.701476555,24533465.526460443,22083786.873991527,21933712.699221414,15707539.020217426,21590394.723253556,14286058.824086372,23668728.091970414
PROT005,,11075887.205917487,9107968.947852226,8163727.229532327,9254481.386310998,8294941.726414467,8904492.204934105,10401796.289960233,8302208.324919895,9396313.689556742,10746520.029782997,7811925.471361277,9289031.317366047,10136536.693680655,8868361.104793394,10487171.977981513,9912565.689501915,10794348.60083002,7265331.153839855,8668209.614859467,8267951.454021325,11960608.217584144,12139411.286960961,,9893438.535596948,15465231.35468834,8118867.607232523,12257055.968776988,9987323.879865378,8617587.845426017,7535931.072223796,,7494856.605625713,8922785.616055379,7663374.403460644,8423929.63706,7992938.354648934,10399826.340121474,9927540.403151568,9361920.82599375
PROT006,42337343.55176175,31125138.303849638,32601537.249465972,34227417.45462812,28550950.16790522,32024171.807099715,26499693.891316034,36259737.49897647,45525639.96177608,,45538154.763747245,32001491.661533277,32923657.58922597,35513734.63979391,31893071.910125494,34675698.250302345,34710149.849011205,30070824.487809125,29427888.628449555,34802656.77869054,25889304.134808615,42410955.26314114,50923130.38273577,28050370.29831377,22823446.314647365,32100035.219103973,33709379.31484559,,41321359.777080275,56865380.541010045,24465837.158811923,26944761.018360645,28034557.29468612,36032872.72271279,42009629.16722272,36617910.328083694,24110255.79899935,30745352.330648173,35299314.40795871,34338625.62541183
PROT007,33286239.088705875,52413692.130677305,38195415.81211975,56450240.57825496,47247967.903308034,,39617374.19677328,54108736.86317778,49899691.43618043,45850223.33831014,41286639.69773178,45878733.45631002,45137977.249794304,44240265.171647266,38459577.22829551,45180790.3589221,35946459.94539422,49924115.27638153,42985285.98967428,52568109.9698329,35027346.14808833,53436378.19480257,44637606.67262917,47371673.78475846,47355779.51327855,56880881.61661868,34301466.31534121,45533038.236632824,49270858.08809383,59610790.99790485,39941280.02386735,43581481.51775034,48010246.87905487,61115873.91858531,38451976.146668725,49605461.22731764,34960266.88162275,49937424.53947326,38566298.65238149,58036178.82165585
PROT008,3962445.5219912413,,6335468.856885345,8109884.940671961,4889357.508144316,5798653.876069483,4735370.189741508,5427983.159270526,6533471.510802424,,6204962.8542071255,4734919.107646036,8335205.976946689,7332339.605916784,6194500.352582728,5371472.891155132,6547926.398077308,4647585.951033761,4812427.671371708,4318048.571352438,5306982.775802094,6178534.410878751,5728752.043406116,7613219.196752727,,6361323.658538953,6672065.392908443,7058112.090871947,5862034.262925029,6204310.844484331,6961047.604292462,6680257.861970057,4556053.593428463,6470865.724313407,5407188.008376317,6086127.462922687,4758675.414262349,5276921.669689986,5366923.516716463,7586312.462446437
PROT009,21945374.11060469,23224551.675176643,19638355.402851228,21718457.287490014,26557658.9527794,35985522.64074176,15558704.003030151,21304675.016884256,21212061.056229025,18911605.98641921,22766464.091577746,21371969.190449085,24400617.851304334,26493278.190998096,20321318.061471146,26421999.05897834,20249847.890469044,25591834.166853268,23984672.99247159,27798944.03913387,24981072.34876618,24845958.751216803,23600536.874014515,16074948.724944351,24842335.04269351,26812431.249446772,26131399.97575265,25577717.999568317,29061818.93965879,20696302.857011363,24502764.118425995,,19907409.959656883,28269722.70429656,20589191.292843524,24986891.87799479,22752891.151703555,42136277.35151003,23871626.17253429,20942900.97301209
PROT010,3367365.534168386,4200636.990710927,3552285.0284322556,,3802002.3372352635,3406513.2388810283,3251614.9234414785,3540201.987141859,3535885.95524882,4055794.2874098537,3174965.900121839,2925695.0307279658,2987538.6824790477,4023004.5964180017,3107965.500007678,3311755.394809189,3399433.0888259746,4407519.337034459,2901957.004818515,3906140.8478798815,,3837410.041207034,3175686.9489953406,4237703.805962796,2761609.1352268634,4448711.978629292,3652169.5832533236,4803940.730581365,3746003.074961832,3373447.6311254804,3842997.102545447,3646111.877933456,3497607.3578870604,3552740.15612185,3412961.096170461,,,3005693.9295221106,3215951.48078689,3641323.735390724
PROT011,58948588.31307659,85409210.965931,54463366.8723548,62378656.32364706,86881785.3158838,94868466.80498366,,,63079318.47146022,78550817.201617,60354659.778820686,53283045.04035125,63918793.38695676,57370125.76801357,59780024.59563316,59700595.07755211,46305485.65534886,,56678857.6255367,65091173.35891247,46478665.443777315,61942508.87652886,62267829.11798816,72866826.87881662,47439329.25944546,70644026.35302112,69950981.61049093,54581298.26768528,51170541.39817802,83342626.50952928,60073901.24977846,65525608.52867161,47469094.89368112,67522189.5031886,59575612.82963779,53709442.09382964,50047342.279270336,66006258.90064364,60751289.01706935,57134051.76622551
