protein,n,mean_delta,pvalue,padj
PROT059,8,0.44626868265873343,0.001087167680559507,0.12937295398658133
PROT010,8,0.2932052799693565,0.0024808978379012294,0.14761342135512315
PROT007,10,0.2995923990216568,0.006566526532108156,0.22225841811678076
PROT037,9,0.23922734232635928,0.012079990859862371,0.22225841811678076
PROT062,10,0.3272452954483732,0.013453630705313548,0.22225841811678076
PROT016,10,0.3446034761682988,0.014055576184074893,0.22225841811678076
PROT065,9,0.2461685078103619,0.014110390950986571,0.22225841811678076
PROT036,9,0.24554389419575648,0.015090346269439801,0.22225841811678076
PROT043,9,0.17260670538207476,0.01788826960277453,0.22225841811678076
PROT015,10,0.22740350599712186,0.020287384719711383,0.22225841811678076
PROT064,9,0.23629718409525402,0.021260884704655855,0.22225841811678076
PROT088,10,0.2961177300105554,0.022412613591608146,0.22225841811678076
PROT099,8,0.21664364003966252,0.040626194725346905,0.31528494633086496
PROT001,9,-0.3778970892225419,0.0411174238091751,0.31528494633086496
PROT085,7,0.3933741302777669,0.04112043278521669,0.31528494633086496
PROT103,9,0.4072623461930426,0.04239125328818352,0.31528494633086496
PROT095,8,0.2703881089749314,0.06206767610319816,0.43447373272238715
PROT091,8,0.3093980294868759,0.0742121888564967,0.4670731378777256
PROT005,8,0.19582919885531558,0.07457470268635955,0.4670731378777256
PROT020,9,-0.18248551454391737,0.0855156086661778,0.4882137320319914
PROT058,9,0.20949370422830388,0.08791495991819316,0.4882137320319914
PROT116,6,0.22779984444421153,0.09036175301955598,0.4882137320319914
PROT115,10,0.20639944612077557,0.09436063728349414,0.4882137320319914
PROT093,6,0.28426802508844656,0.10493997387084587,0.49190419701900556
PROT050,6,0.2813621305473273,0.10559127329499521,0.49190419701900556
PROT025,10,0.18600545798255758,0.11038819060590793,0.49190419701900556
PROT076,10,0.1560070208891279,0.11556662653850291,0.49190419701900556
PROT086,9,0.23531504514808196,0.11574216400447189,0.49190419701900556
PROT014,9,0.22160483545811457,0.13559066486364943,0.5435168081938031
PROT003,9,0.18543678901433777,0.14078211982578392,0.5435168081938031
PROT040,8,0.17361107324113334,0.14158841221855376,0.5435168081938031
PROT030,9,0.20192551393242417,0.154277729738015,0.5625562468107367
PROT109,10,0.11024506757502443,0.15600299281306143,0.5625562468107367
PROT080,8,-0.2039544369270745,0.17718551711504119,0.6137707660746419
PROT052,10,0.13472865448800242,0.18218278243316166,0.6137707660746419
PROT084,8,0.19534388138427916,0.18768384467302612,0.6137707660746419
PROT060,7,-0.07184704716825305,0.20118012640018723,0.6137707660746419
PROT032,9,0.15333506889993764,0.20535091414021855,0.6137707660746419
PROT019,9,0.1244769264786064,0.21079495427912365,0.6137707660746419
PROT070,10,0.12086090807394605,0.21550676220626652,0.6137707660746419
PROT004,9,0.18956102672288072,0.2196540641377049,0.6137707660746419
PROT002,9,0.11364063620296447,0.22122529045740105,0.6137707660746419
PROT055,7,-0.21084642955102748,0.22554379602170405,0.6137707660746419
PROT068,9,0.11959462752701297,0.22944638270157053,0.6137707660746419
PROT053,7,-0.11034870998394856,0.23209818885175532,0.6137707660746419
PROT057,7,0.14472731272616812,0.24528656968373405,0.617772330661389
PROT061,10,0.10158436506045909,0.24818292783606208,0.617772330661389
PROT051,8,0.15495623026744676,0.2678291185471224,0.617772330661389
PROT039,9,0.20582890753282138,0.2698828855262556,0.617772330661389
PROT072,9,-0.13067373185746411,0.27047802582088526,0.617772330661389
PROT101,9,-0.1596039391005151,0.2710314552747062,0.617772330661389
PROT011,9,0.09732126054565013,0.27299601445238303,0.617772330661389
PROT092,9,0.14587974588871214,0.2751422985298624,0.617772330661389
PROT023,9,0.07935432075641241,0.30364720632587805,0.6691484731996201
PROT107,9,0.1590269509102803,0.31230147452415064,0.6757068266977077
PROT056,10,-0.08494753749306092,0.3321799509969909,0.7058823958686057
PROT106,10,-0.11397829543712205,0.3408033769146914,0.7115017868920751
PROT112,9,-0.10830839851172334,0.36313714214734577,0.73344813372568
PROT083,8,0.17787098932250922,0.36709251628865536,0.73344813372568
PROT033,8,0.13012348313977373,0.3698057817104269,0.73344813372568
PROT077,9,0.09967632509267214,0.3925453348244474,0.7468001658202131
PROT047,10,0.11818094065595872,0.39376939308161596,0.7468001658202131
PROT089,9,0.12730703507477514,0.3953647936695246,0.7468001658202131
PROT054,9,0.08760065451387157,0.4036644765864542,0.7505636361529383
PROT038,9,0.13031368979019498,0.4104285659453427,0.7513999899614736
PROT082,9,0.17408977975900639,0.43161982988332304,0.7765504701349202
PROT118,9,0.08945224960112104,0.4372174915885685,0.7765504701349202
PROT090,8,0.10298918712307925,0.45904383662178394,0.7877970997419829
PROT041,9,-0.1017360216453527,0.46008210823062323,0.7877970997419829
PROT110,9,0.06662726621991687,0.46777521211936623,0.7877970997419829
PROT026,8,0.10864186283457,0.4700302023670654,0.7877970997419829
PROT120,8,-0.06284958572551647,0.4859829724765333,0.8032218572876038
PROT102,9,-0.0944088000510873,0.4948943268045519,0.8067455464348174
PROT008,9,0.07456156824395895,0.513399512688995,0.8256019190539243
PROT078,9,0.09233532490925198,0.5617100304280892,0.8861958403223064
PROT119,10,0.05533838235776258,0.5690167215861216,0.8861958403223064
PROT066,8,-0.04179865226867818,0.57342083785561,0.8861958403223064
PROT048,8,0.08453316931770116,0.6067371448116818,0.8905648307108058
PROT097,7,-0.0622158252511242,0.6107141892190754,0.8905648307108058
PROT081,8,0.09205411363618454,0.6167734355459908,0.8905648307108058
PROT012,8,-0.08687098463896037,0.6177992263074105,0.8905648307108058
PROT075,10,0.05385195604984645,0.6274969924360309,0.8905648307108058
PROT063,8,0.05708703687564931,0.6345246888502778,0.8905648307108058
PROT045,8,-0.06135083804746744,0.6354323748248463,0.8905648307108058
PROT042,8,0.0791037951791167,0.6383819809469052,0.8905648307108058
PROT046,7,0.05030056058987701,0.6436014742952042,0.8905648307108058
PROT096,9,0.043991783007948176,0.6555478392359371,0.8946891581024223
PROT071,7,0.053208169380190844,0.6655472368861296,0.8946891581024223
PROT013,9,-0.04613315983113648,0.669137269505173,0.8946891581024223
PROT018,10,0.0642698029891335,0.680286681001748,0.8974438407452612
PROT017,7,0.06538368540106276,0.6923267777268929,0.8974438407452612
PROT027,7,0.046505109683957456,0.6962156759458358,0.8974438407452612
PROT067,9,0.04751799254890364,0.701363673859742,0.8974438407452612
PROT108,8,0.049773331240358765,0.7417128708655552,0.9389769322659688
PROT098,10,0.03979173203275046,0.7515109808081143,0.9413663864859536
PROT094,9,0.023214467446644942,0.7935669299951251,0.9773796552247787
PROT021,10,-0.02563647508853002,0.8074189543972446,0.9773796552247787
PROT074,9,0.016092876577168624,0.8083149427412161,0.9773796552247787
PROT104,9,0.027088785081663187,0.8218281972008764,0.9773796552247787
PROT069,9,0.024433115013428066,0.8271117163958812,0.9773796552247787
PROT034,10,-0.02102034760742093,0.8314562272230924,0.9773796552247787
PROT044,9,-0.020490827417750285,0.84549171364604,0.9773796552247787
PROT028,9,-0.02616763219833255,0.857986840592188,0.9773796552247787
PROT049,9,-0.026837608356955575,0.8625360723482403,0.9773796552247787
PROT100,10,0.026918763488748,0.8643618967702593,0.9773796552247787
PROT009,9,-0.014725453892320198,0.8719524757842474,0.9773796552247787
PROT079,10,0.021381138187897265,0.8788203622609354,0.9773796552247787
PROT111,7,0.015119031376586736,0.8909986140296118,0.9813188297987958
PROT006,8,0.020711615711894282,0.898855062588813,0.9813188297987958
PROT114,9,0.01610417945078366,0.9152615315745458,0.9873227961959802
PROT024,9,0.012181256408667136,0.9209481544349059,0.9873227961959802
PROT035,9,0.010502800193955627,0.9493717225983419,0.987618670378891
PROT117,7,-0.009311666952741453,0.9535688325766043,0.987618670378891
PROT073,9,0.010055400972194583,0.954803102664429,0.987618670378891
PROT031,8,0.009361542195450934,0.9563425064972946,0.987618670378891
PROT113,9,-0.00514368995650511,0.9627207207054735,0.987618670378891
PROT022,8,-0.0020831331586106394,0.9877882584528771,0.9942257469874902
PROT087,10,0.001166133157960303,0.9900760805758072,0.9942257469874902
PROT105,6,0.001564094526432432,0.9942257469874902,0.9942257469874902
