sample_id,PROT001,PROT002,PROT003,PROT004,PROT005,PROT006,PROT007,PROT008,PROT009,PROT010,PROT011,PROT012,PROT013,PROT014,PROT015,PROT016,PROT017,PROT018,PROT019,PROT020,PROT021,PROT022,PROT023,PROT024,PROT025,PROT026,PROT027,PROT028,PROT029,PROT030,PROT031,PROT032,PROT033,PROT034,PROT035,PROT036,PROT037,PROT038,PROT039,PROT040,PROT041,PROT042,PROT043,PROT044,PROT045,PROT046,PROT047,PROT048,PROT049,PROT050,PROT051,PROT052,PROT053,PROT054,PROT055,PROT056,PROT057,PROT058,PROT059,PROT060,PROT061,PROT062,PROT063,PROT064,PROT065,PROT066,PROT067,PROT068,PROT069,PROT070,PROT071,PROT072,PROT073,PROT074,PROT075,PROT076,PROT077,PROT078,PROT079,PROT080,PROT081,PROT082,PROT083,PROT084,PROT085,PROT086,PROT087,PROT088,PROT089,PROT090,PROT091,PROT092,PROT093,PROT094,PROT095,PROT096,PROT097,PROT098,PROT099,PROT100,PROT101,PROT102,PROT103,PROT104,PROT105,PROT106,PROT107,PROT108,PROT109,PROT110,PROT111,PROT112,PROT113,PROT114,PROT115,PROT116,PROT117,PROT118,PROT119,PROT120
S001_baseline,22.86357908921113,,24.298955421388616,24.138339603535435,,25.335427414782117,24.988422538156616,21.917959669700924,24.387413528754667,21.683188906381712,25.812953928508858,22.091680559492115,24.504671031837702,25.523926702643656,,24.479568304867502,24.39750192341439,21.865017719162008,,23.881134789498915,24.262420055016296,23.269722387681806,23.895737103867756,23.172364470143858,,25.176259327705253,24.338736954883377,24.560912537307935,24.324723675295036,24.885003470849437,25.351723756674094,24.552986183709802,24.446072742951095,22.28330022528361,26.36174326105739,23.993969441733423,24.87446791906668,25.15634512533254,24.52907232074145,23.027479913065413,25.02566666164612,22.72283069598541,24.547748648555594,24.37213449611967,24.768469210180136,22.589248369333,24.38360742672668,23.574396535207004,21.85983226056705,23.532805724770434,25.606261810924234,23.380035586185453,22.09614316677078,25.118965752179214,23.399012664118338,25.186302300301893,23.01451478032193,23.978380120489557,25.287217587333654,25.968586618722508,24.447369550093402,23.213775937951123,24.20368996598322,,25.696753810078096,24.34604310506277,24.081406923301802,23.285736557672138,25.05197311210804,23.017463290532984,,24.155370615598724,23.659773713937707,23.425657247291966,25.621248152007897,25.840219450458417,24.412568406327406,25.10520566651412,25.151199500572137,24.4370679180601,24.435456438501603,25.266318745805243,24.090594750333555,23.660938840977757,24.260278482014762,22.810257564439105,23.458367094209635,24.509300515219614,23.677623522899946,23.109853584120863,24.169319704523343,26.810346204941258,,24.87722221065044,23.38722403997682,23.973887011992886,24.35171358775196,,25.12734238744602,22.18764557835977,23.381244813293254,23.33876261877745,23.09584945112657,23.35518452264399,22.675985619973815,,23.480093002042583,,24.19652677428103,23.05046478672687,24.142982689608395,22.968176390468535,23.693505835029455,24.29974020285805,23.782449133470145,24.02738550009291,24.01402718752803,26.598094949936105,24.031712168161892,25.509099684558503
S001_week4,22.895725075335776,23.701777109424178,24.326153263491474,23.813525111451632,23.400918931056097,24.891576911989354,25.643440403238976,,24.4691474114226,22.00217668618182,26.347888330055998,22.659744025911955,24.670418793089997,25.947894143840408,24.180075932825876,24.519123532380508,24.291984442953716,22.462352681837125,24.694677900051694,24.081220820480887,24.04723239097139,23.462886756025053,24.09107219237113,24.071099514644988,24.213866625897644,24.688111562864897,24.874200489914166,,24.51395546291776,25.582184495171877,24.99341334564824,24.576644943707237,25.027220084894015,22.55998941968403,26.14865584157471,24.439869290744934,25.177602380546972,24.717924850583298,24.756298020444707,22.92528338681202,24.634635064087245,22.769070281917674,25.00855829229246,24.732674018417384,25.07938545375278,22.018700577882285,24.337446901246594,24.147065388163387,21.673613425593633,23.802153086863136,25.18120921623591,23.818312678681046,22.1244505479914,24.85237143063937,23.65786925692362,25.448800849403497,23.283803547670196,24.591174124343215,25.303789668488715,25.93942915704078,24.49241037661352,23.042281877411682,24.61553494307853,26.640018772307194,26.023203728091083,24.094364862345028,24.302145900788503,23.820595751619788,25.13695815519944,23.42160025775651,22.448988899742353,23.785572285215505,24.110591548383358,23.258588170792933,25.83450522570521,25.539735487174816,23.94258098654057,25.215990128580902,25.573357314595505,24.58721580394106,24.18438360574562,25.098757021624838,,23.83493117385685,24.711796589116364,22.686384845631295,23.59039227648695,,24.06430116557786,23.04206163246384,24.011320002910608,27.800996949798957,24.847550347584036,24.902919178763717,23.481143622404378,24.052872445046784,,24.296823130758547,25.084796835853087,22.044286790464433,,23.388600347403592,23.505857117560957,23.06377657292328,22.600912327852292,24.938486583400234,24.27448459906031,,24.73991916630291,23.193140149784426,23.67650930949908,,23.698703045107838,24.024761825696004,,24.353072410881822,24.076069500040333,,24.065088364468544,25.659692425900435
S002_baseline,22.751034418155886,24.059635850155317,24.49073079185045,24.281857031267258,23.118697942171572,24.95843665719222,25.186896161582915,22.595019959404322,24.22717078166985,21.76031591469687,25.698782835353942,22.55831708950535,24.621811442357597,26.187559092331774,24.11452840076678,24.98054935667289,25.05026243625997,22.827946687783243,24.771789317792102,23.96031470669187,24.319932012028953,23.558907939450314,23.834173080328267,23.46463369391648,23.80735374880871,25.079370935643805,,24.444989709900472,,25.218515380815543,25.34695485269005,24.27756481716024,24.90184021632444,22.34182949220664,26.686781827712995,23.776273450141954,24.776977589592864,24.929139380233757,24.75173364496852,22.904666371734006,,,24.756169159024196,24.276502970042802,24.70898022352926,21.662217742979934,24.295824473337117,23.963988229079686,21.775005674181322,23.68120231864182,25.51886145153044,23.192170225823837,22.165168278173013,25.277362021828832,23.68056384552577,25.418106296366798,23.321702675052357,24.549643315282108,25.00481384417991,25.700216542451706,24.343491740001912,22.724726695225197,24.385064959969565,26.037384318910256,26.071081962124016,24.158000379330137,24.093520444113057,23.505464937084316,25.06995404332959,23.61785183704299,22.619917183798936,23.842072205052094,23.743713206567772,23.061003429267632,26.06352616771144,25.869300521925403,24.192331882261307,25.08202268665839,25.365812929311844,24.61725973380373,23.840401304326704,24.815304379891774,24.325028767756557,23.488318718633856,24.22259071596061,22.768425421204753,23.601739849825957,24.11309952709337,23.309464294716054,23.072631481114676,23.513941897858647,27.223104208427934,25.017210718687966,24.7932636194539,23.099464741827507,24.475069204081876,24.483633562620376,24.315142592190153,25.143947200384606,22.468825301180672,22.95140354892006,23.505729910220836,22.78611085047739,23.148618384304232,,24.670767937119727,23.295217786773897,22.24789151752566,24.8865509090655,23.07211974960143,24.24030648880579,23.011275766871783,23.35452178227105,23.241889227874314,24.32558017314988,24.138956929929265,23.71388796805069,26.477944059026548,24.019493197226808,24.83846805225497
S002_week4,22.79374252063141,24.09460466350435,24.52810106452337,24.714307439440447,22.960796548464128,25.02864910566946,25.750476393665362,22.951250015616353,24.37241829301068,,25.894549140679786,22.662929989843516,24.37267138712671,26.073781183542014,24.04035988987198,24.79364356192445,24.867472848098704,22.77044249553373,24.693324600069456,23.383836201261992,24.25114199156108,23.446565050848847,,23.44298160361024,24.040850736435917,,24.598684765307624,24.738783694300853,24.362124313426563,25.403776991182273,25.236895379381327,,24.584978153887825,22.180374229125974,25.870597480228398,23.985000671426494,24.935031461996008,24.677742685312136,,,24.924213802924868,22.833308314315982,24.930206804593073,24.13105469490294,24.92481054887122,22.02728684305498,24.730521064375388,23.472684843750304,21.69090839016506,,25.758353249919832,23.639691768346673,22.293362425427805,25.101297538509307,23.403061654588036,25.42867280485868,,,25.532383196500916,25.86039297793028,24.826453300167223,23.100449634159716,24.25954145619059,26.474784363983122,26.450086013394927,24.18172986719951,23.783148872421975,23.933121320654898,25.04631594286156,23.33555247450143,22.23675387776505,23.301321011299823,24.215054397223955,22.87981667735857,26.03052964347465,26.267789215582088,,,25.418612098288314,24.39641575466292,,24.955545332632727,24.512317966809025,23.693659415025326,24.753703986681277,22.98396995849334,23.692891345215465,24.78408704255226,23.577812486580203,22.883138216838606,24.493271424542744,27.290276160499417,,,23.467142225046267,24.79573003905785,24.348246238579794,24.072659170202517,,22.60094065888352,23.301548284942996,23.007625703427195,23.698229360360287,22.844291279549168,22.304183685365075,24.513976083440486,23.38840769753246,22.790535867866623,25.36354162357873,23.31252341970664,23.961229719598812,23.016710617232707,23.253391644236945,24.18770519702889,24.656099435157167,24.80564886220697,,26.905783274668636,24.047995735123443,
S003_baseline,,23.623891381006054,24.238217747626766,24.338032818202457,23.141720714216223,24.767035423099642,25.4937489457386,22.22121346789374,24.66262464349915,21.858327988190357,26.37255041330119,22.153468411549046,24.727021331398507,26.52034110067136,24.177768792383684,24.508119414219053,24.643725378474628,22.18507516302197,24.26201642635947,,23.936803316803534,23.340704428691676,,24.018737791281488,23.714882090802153,24.937800515877118,24.592611894600527,24.50556989515651,24.374814943997198,25.013754735263724,,24.59607134119604,24.543189294338617,22.196967951786153,25.92214460086342,23.90182879001622,24.810942560008986,24.78140819464219,24.49902233441769,23.394991365082653,24.632740965660307,22.078221135247354,24.42462844387569,24.35402024082678,24.759539214986567,22.37443229518996,24.353495631545034,23.67544639685303,21.378329601824984,22.907081731730383,,23.989181046127417,21.94618709507488,24.841965007065088,23.40980708572397,24.820220959969387,22.53858273888753,24.31319183029726,25.425616572437793,26.344149420233137,24.123686140731213,22.906816457996065,24.172158875766627,26.185944450145612,26.04737563481287,23.690531458906054,24.023939899390427,23.709398010360474,24.841235858127263,23.449336660361336,22.026952603756893,23.9919924320381,23.819620297831033,23.084152235613512,26.290282249917116,25.700613033170427,24.567556245782722,25.125089512910755,25.131652255547227,24.226412844358997,23.86832995184024,,24.573124862048786,23.40561987602492,24.69143730386643,22.52025525990317,23.578329057748782,24.619638882265015,23.881594510419053,23.263177976762226,23.902842572311815,27.23798823280898,25.233575405058694,24.522290978050986,23.255633172496985,24.784140969676177,23.980086360625638,24.286011882211014,,22.205227305098713,23.40290267727773,23.082188708005454,22.96382884868124,23.238956438256018,,24.643206608145505,24.220851407476985,22.592084078533873,25.19146477380157,,23.37709973011164,23.067516866644542,23.37176266171601,24.333770528205413,23.88489710720285,24.64079379043187,23.99508879087789,26.271144042234514,,25.434365798584867
S003_week4,23.433749276263057,23.77849067277553,24.575959789989813,24.214772051445532,22.98380041532651,24.93265792501296,,22.467286595130084,25.10091327589823,21.69986438290971,26.499425295779556,22.26632253025577,24.576106985923516,26.245252439596154,24.292593208522934,24.87091935761328,24.618567486360146,22.742704427265732,24.783586775653802,24.015676148557294,24.55063008774462,23.66194024079135,,,24.404959061489667,25.1521082571746,24.82073517278491,24.846738781233373,25.027952663382656,25.681919234584544,25.366846461065578,24.850346850459065,25.232072090156407,22.581309848187068,26.224962053091023,24.431656243513924,,24.760649464696865,,22.885242422244968,25.467641698484837,22.79406430203893,25.04498154652258,24.75659628034494,24.655249174297698,22.326427229905818,24.939198905957515,23.679350757631543,21.978160717330336,23.76654889452072,25.53641724723601,23.943750007547894,22.23122228803383,25.65183750121139,23.88642023300164,25.65769328283287,22.809925554964703,24.346371705762866,25.226758491416238,26.38936590457321,24.694155506228526,22.980361771939723,24.737111346085385,26.851321554270534,25.94177910985366,24.49904441645683,24.163934682696308,23.790938539695844,25.548121467421048,23.21007098540017,22.407870687588876,24.13612474962981,23.970936366901817,23.24551421291668,25.982248674601546,25.602235391933224,23.940795376716345,25.006559895493737,25.860995399063405,24.637270445644116,23.965198068366043,25.429948406124595,24.702267472478887,23.147712358470788,24.746484471392634,23.134420629963518,,25.103392254712666,23.778418024293366,23.16597568927824,24.11021121175753,27.61803453980831,25.060300818469557,25.35542994628037,23.210769479942428,24.73168472196515,25.109206704084347,24.6822300275264,24.67545135915784,22.7976444538072,23.290352253249996,23.720041984491086,23.71389346466436,23.316669831970138,23.34916564196256,24.747119963158088,23.936515215582382,22.080019983607055,24.85604057088607,23.310958255986023,24.35146094469849,23.116538072571625,23.61869690833184,24.424423819767245,24.27464837783167,24.68274103130141,24.37321899402052,26.141018069826472,24.553006921463446,25.513895008103006
S004_baseline,23.346692345048822,23.57152378616238,24.70057237217975,23.637075379519153,23.08610191065537,24.6594723588296,25.239629927103472,22.17504578277456,23.891218557037515,21.632724983890935,,22.348140750951835,,25.855167628421405,23.97403107505119,24.037185783497605,,22.33337118676252,,23.825020359766096,24.100002484414848,23.569982670720282,23.639341434188427,23.563831013674864,23.812140779005098,24.90584863750445,24.729932974871538,24.680325477462162,24.654505046616208,25.309859369601483,25.60349385696971,24.17405709569024,24.318557837054968,22.103453191091912,26.07235638186113,,25.24118701175006,24.395135781499825,24.462199648665067,23.200078494175283,24.85347572285206,22.243111090749785,,23.848800806100755,24.57624264506573,21.586000995264268,24.914757223709174,23.931221531435366,21.899280683085916,23.432263162653303,,23.797590184959976,22.10362136551564,25.2954010136235,23.998084141225103,24.871989603658655,23.431511086649685,23.84446702655742,25.595471909547584,25.755739501140816,24.224787430147522,22.820744092502146,24.496747854377173,25.84829237444015,26.107664206018516,24.13493906176647,23.6752447226095,23.115021911345337,25.18972340021373,23.340379526504094,21.96165250492268,,23.846410072677305,22.55520339256713,25.40147717438639,26.14317795009325,24.294749006634053,24.766254854789462,25.307930682832822,24.36784043499764,23.696154658333626,25.13447190761268,24.525191392968903,23.340033317963886,24.862048807433904,22.332127323109503,23.513855927648216,24.348917623740174,23.972895499464286,22.786493209916785,23.990122146710323,27.566639341463407,25.36445327014599,,22.72612282090546,24.685859463772353,24.267283786843315,24.11233636623298,24.695781520531174,22.244079546708996,23.16027525704724,,22.966518044335967,23.019520478961766,22.4159254159593,24.97551146958435,23.453374324049587,22.096058323224092,24.195208533698278,23.336682735921357,24.079929409261794,23.283705272174867,23.593007712718705,23.57614476902902,24.203542542708135,24.681799609160247,24.045576163636103,26.44317586912566,24.00924458152616,25.29376728176614
S004_week4,22.90179516103152,23.847358331767467,24.613666966729912,24.077531676680046,23.31032935362034,25.111865144994223,25.68935822705288,22.37198481401709,24.344666708916808,21.75540024532019,,22.781486864938692,24.330281313903114,26.56532293565402,24.13005901740836,24.590914810636267,24.588929406853655,22.527200296075137,25.07161157618667,23.90070628182687,24.074217633956764,23.502476448130018,23.510006391852517,23.794615193180856,24.41489893054629,25.000489712293255,,24.902785682182937,24.428688386348632,25.261672961531367,,24.23517040828436,24.943855514594933,22.17397735672608,26.412583498974378,24.014941966316805,25.177918954334505,24.96179736435548,25.068118746445183,,25.035912323258756,22.98065041977851,24.92670118161475,,25.184805478676928,21.936909792493925,24.597964531974927,23.58102630177363,21.809692671257668,23.672813558306533,25.76815875663079,23.917715058661482,22.293758089968584,25.202469684449216,23.29583348936729,,22.81116262891762,24.475177497491558,25.380324250332098,25.854228296554272,24.831469224860605,22.514080215122057,24.902450810893924,26.63910312875445,26.261487664911925,24.46047283130379,23.755579915655602,23.560091822373888,25.200374822107108,23.038334021473005,21.837811498557574,23.92959212979206,24.2520350535165,,25.89696894364839,25.96760946038668,24.176133985402753,25.053482198659395,25.201462314443518,24.409571218907068,23.61783558049038,25.160435619132254,24.425183733536734,23.03290382323173,24.805768864824774,22.797322993358794,23.539884059085473,24.622280846923783,24.067324323745932,22.870950101455996,24.24129891947392,27.251450286696596,25.37553438484434,,23.738770905277715,24.379904021322975,24.887052986484,24.091583619251487,24.955094172451865,22.326094086229077,23.352898114339553,23.559258996920477,22.82043221905551,23.2866020790072,22.843912516729034,24.55948279345057,23.830068251049482,22.32982432679109,24.703769307246965,23.575352755914974,24.132980704615818,23.029888503145013,23.36372910106134,24.279055551081253,24.141390759510927,24.516807203392528,23.92716383602964,26.430229879781415,24.231864298059854,25.753227498610958
S005_baseline,22.75726253851285,,24.83546699861368,,22.985063702850614,25.44017596176931,25.57252755863442,22.639418329949443,24.338381470423617,21.753640312817573,25.910663737099057,22.338130632872026,24.8111854047124,26.257434372864644,23.94525758193193,24.194178982560704,,22.166503511682528,24.215070439898753,23.49402539527234,24.256694623251473,24.054678371346334,23.689247173849655,,24.618268239269963,25.519646870767176,24.289749210933344,25.077311357191167,24.477995460494178,25.50351869323102,24.889516211811127,24.418598528788735,24.99160214079944,22.281959455493016,25.617319466083885,23.996725389343386,24.503396004338473,24.485711426475653,24.934298720531096,22.624274057787108,24.985014214892836,22.3399359574544,24.943379397749126,24.327577640578728,24.919228061776213,,24.554288913606864,23.834715763618973,21.6223163153474,,25.662350020249132,23.409471765900157,22.257493203927027,25.19397225840829,23.431355489101254,25.189021590543707,22.687901648857334,23.949397663940427,25.178116236572055,25.817791726139212,24.414276765133508,22.632642405088728,24.30896324399745,26.24226649547589,26.224426155248906,24.08483909506438,24.054512913826503,23.31284467630653,25.269035564776615,23.051860869482592,22.559404064138228,23.944308349572633,23.814742077697147,23.029220789830507,26.046619872669062,25.867206878077685,24.262759797282346,24.652064666837543,25.264587243586536,,23.580477477853478,24.809747690971154,23.97601748835766,23.397682952696773,24.432391698940815,22.566318280647973,23.471380330769655,24.11394767709111,22.984523522380595,23.661150082096725,23.91594961740682,27.019439260801157,24.735059115407232,25.097244972932565,23.30216702199896,24.863231568461128,25.214256094169816,24.037922815740885,24.425474822856177,22.074760995377847,23.423208711453192,23.51751860729447,23.08036193377224,22.80342706266082,22.812476394787023,24.395801956429555,23.759044408588206,22.036544291066352,24.66574500510006,22.806137733699007,24.134858357695002,23.08744107970253,23.40529972734008,23.72335597405776,24.16353210935966,24.219187440783042,24.414785605257066,26.541853437197158,23.73616845926632,25.763200748926018
S005_week4,22.583043885514368,23.49239657732277,24.674530559921116,23.89347261977053,23.163663446873265,,25.450425425475437,,24.172768547343818,21.951553049066813,26.2271229488537,22.87515750304249,24.41547751627372,25.726792037584257,24.156190128659343,24.39109310759447,24.59442979503574,22.563187186416425,24.261474783068802,23.540617344133693,23.90627207518597,23.61183617799283,23.494271411786805,23.854640724365172,24.319112055217587,25.18444953525762,24.50181184120146,24.56411054273322,24.85433306302071,25.481032162530365,25.1773395349876,24.90388657864968,24.646150079951205,21.92417748326873,26.058653647178037,24.32763024477081,25.02061964295577,24.925036885205227,24.545683089392828,23.185805974171366,24.500810605184355,23.0473498871099,25.129225807779598,24.403677605872495,24.86666564584991,22.277640664431622,24.347835325221578,23.58691835387154,21.550247101134307,23.632539012064367,25.54375392976626,23.60716549735123,22.08430353318173,24.929679677674034,23.65580219217892,25.053306629720293,23.345440739561496,24.52220541782551,25.358740475544128,25.625350522046784,24.496209426249187,23.356556544299796,24.313006251344607,26.467767835221558,26.440876861672844,23.923640083129484,24.015087993242403,23.752030332536112,25.286921534804414,23.266400330440426,22.3757839089379,23.599394705075106,23.93146856031135,23.01614917217307,25.489261639399405,25.8527074060518,24.623384934611824,24.967269026497505,25.400681766427873,,23.728519299188275,24.79329335912349,24.89774216220245,23.644187900966045,24.768411792422366,23.119446840432936,23.688373710751222,24.530489252814927,23.917983604820687,,24.035104897967585,27.505433612272782,25.2972986826549,24.80513003715907,23.454893868841168,24.960859429074123,25.09513370250357,24.309216682561672,24.797034255208807,22.563746579610278,23.486878473015853,23.415277357150714,23.60301593563983,23.31171302160191,22.681024899094787,24.700740691135273,23.840997040171672,22.034965485085777,25.116723874135136,23.442608215372584,24.284273025770233,23.18609987411531,23.143195060655586,,24.772254088826806,,24.126544066950558,,23.870696288833738,25.93636378623557
