protein,n,mean_delta,pvalue,padj
PROT007,9,0.3620618661758653,0.00011750148278465878,0.013982676451374396
PROT061,9,0.31403835427422067,0.0014482428690971872,0.08617045071128264
PROT022,10,0.36017358262536875,0.005377798825355317,0.15752130978446632
PROT024,9,0.3507558281127372,0.005992606863661429,0.15752130978446632
PROT073,8,0.37326136735817617,0.006618542427918753,0.15752130978446632
PROT097,9,0.42729454901070457,0.010048302037047784,0.17239071316627633
PROT079,8,0.3120898790953559,0.010140630186251548,0.17239071316627633
PROT098,9,0.21356529142204886,0.011812923675389454,0.17571723967141814
PROT034,10,0.24501484663360706,0.017394720591328978,0.2299968611520165
PROT002,8,0.2649006527930182,0.022208795792071512,0.264284669925651
PROT045,10,0.20910511335604412,0.02784437872690715,0.2887596520228505
PROT047,9,0.3444435382224924,0.03329050224027703,0.2887596520228505
PROT058,10,0.26877130832189133,0.033602370633048925,0.2887596520228505
PROT069,10,0.1862611682132968,0.03472460540862505,0.2887596520228505
PROT011,9,0.27960709693748004,0.03661180939589073,0.2887596520228505
PROT120,10,0.2515338268520946,0.03998391967775939,0.2887596520228505
PROT050,10,0.23719423042762955,0.04125137886040721,0.2887596520228505
PROT030,10,0.23440939395357888,0.043722482919467384,0.28905419263425663
PROT043,8,0.2994494075121672,0.05405793095735619,0.32574667864972545
PROT041,8,0.2975159630827018,0.05474734094953369,0.32574667864972545
PROT052,7,0.13496830443821853,0.059786338417125606,0.32819342484094816
PROT009,10,0.25556247138449706,0.060674414676477814,0.32819342484094816
PROT095,10,0.2360205463949768,0.06596737428914956,0.34130945827864334
PROT032,10,0.10767226066545277,0.07156915480330017,0.34210239820071753
PROT014,9,0.23376182466749876,0.07588483942182919,0.34210239820071753
PROT019,7,0.3048711389357394,0.08290134091627181,0.34210239820071753
PROT082,8,0.2162543098680869,0.0840587635050126,0.34210239820071753
PROT044,8,0.3275838610933701,0.08626202251898725,0.34210239820071753
PROT117,10,0.1528679073245776,0.09076581247692919,0.34210239820071753
PROT018,9,0.26192728627305173,0.09305081598087825,0.34210239820071753
PROT040,9,0.2724195924387429,0.0940106421024311,0.34210239820071753
PROT103,8,0.22295337056079445,0.0941247165492724,0.34210239820071753
PROT080,9,0.17022409556425483,0.09987526933856923,0.34210239820071753
PROT015,9,0.20232677654794332,0.10557342951061414,0.34210239820071753
PROT064,9,0.25923397253414115,0.10758755616861952,0.34210239820071753
PROT086,9,0.18380806171518277,0.10816936336057008,0.34210239820071753
PROT081,10,0.1899702308392417,0.11891286987949831,0.34210239820071753
PROT036,9,0.20740919592138754,0.12590097989987403,0.34210239820071753
PROT078,10,0.22844098675171978,0.12854992302797164,0.34210239820071753
PROT033,9,0.23971722144158114,0.13635600831747247,0.34210239820071753
PROT089,8,0.18275716887501048,0.13820963126688457,0.34210239820071753
PROT105,9,0.19429452083575663,0.13850097040691045,0.34210239820071753
PROT042,8,0.2628710670846246,0.1388632928812931,0.34210239820071753
PROT106,9,0.19364438740382303,0.13908807743205237,0.34210239820071753
PROT107,9,0.208081600658236,0.1395113610006202,0.34210239820071753
PROT062,10,-0.1037103924947779,0.14364107740457766,0.34210239820071753
PROT114,9,0.16883771684837376,0.14629446351644293,0.34210239820071753
PROT118,8,0.21309424732433024,0.14709222733979646,0.34210239820071753
PROT109,10,0.18137558785105767,0.14767401630738006,0.34210239820071753
PROT039,9,0.16670842406165085,0.1477664227972114,0.34210239820071753
PROT026,9,0.18421299274300454,0.14925101957757098,0.34210239820071753
PROT054,9,0.2077049153916385,0.15042084549344087,0.34210239820071753
PROT028,9,0.1638522962492163,0.15249985631899537,0.34210239820071753
PROT091,9,0.1182221721455979,0.155239743721334,0.34210239820071753
PROT116,9,0.11295348403130451,0.16277948142716012,0.3521956052696737
